Place of Interest,Type of place,Place address,BiciMAD station,Station Location
Arco de Moncloa,Monumento de la ciudad de Madrid, , Arcipreste de Hita B,Calle Arcipreste de Hita nº 12
Arco de Moncloa,Monumento de la ciudad de Madrid, , Arcipreste de Hita A,Calle Arcipreste de Hita nº 12
Arcángel San Miguel,Monumento de la ciudad de Madrid,C Costa del Sol 1, Pío XII,Avenida Pío XII nº 3
Arcángel San Miguel,Monumento de la ciudad de Madrid,C Costa del Sol 1, Colombia,Calle Colombia nº 7
Arcángel San Miguel,Monumento de la ciudad de Madrid,C Costa del Sol 1, Carlota O’Neill,Calle Carlota O'Neill nº 32
Armando Palacio Valdés,Monumento de la ciudad de Madrid,CALLE MALDONADO 25, Velázquez,Calle Velázquez nº 91
Armando Palacio Valdés,Monumento de la ciudad de Madrid,CALLE MALDONADO 25, Embajada de Italia,Calle Velázquez nº 75
Armando Palacio Valdés,Monumento de la ciudad de Madrid,CALLE MALDONADO 25, Diego de León 52,Calle Diego de León nº 52
Artieda y Labiano,Monumento de la ciudad de Madrid,C Navas de Tolosa 10, Jacometrezo,Calle Jacometrezo nº 3
Artieda y Labiano,Monumento de la ciudad de Madrid,C Navas de Tolosa 10, Santo Domingo,Plaza de Santo Domingo nº 1
Artieda y Labiano,Monumento de la ciudad de Madrid,C Navas de Tolosa 10, Miguel Moya,Calle Miguel Moya nº 1
Arturo Duperier Vallesa,Monumento de la ciudad de Madrid,CALLE VIRGEN DEL PORTILLO 37, C.D. Concepción,Calle Jose del Hierro nº 5
Arturo Duperier Vallesa,Monumento de la ciudad de Madrid,CALLE VIRGEN DEL PORTILLO 37, Carlota O’Neill,Calle Carlota O'Neill nº 32
Arturo Duperier Vallesa,Monumento de la ciudad de Madrid,CALLE VIRGEN DEL PORTILLO 37, José María Pereda,Calle José María de Pereda nº 1
Arturo Pajuelo Rubio,Monumento de la ciudad de Madrid,Pza Sestao , Glorieta de Cádiz,Calle Antonio López nº 129
Arturo Pajuelo Rubio,Monumento de la ciudad de Madrid,Pza Sestao , San Delfín,Calle San Delfín nº 9
Arturo Pajuelo Rubio,Monumento de la ciudad de Madrid,Pza Sestao , Antonio López,Calle Eugenio Caxes frente al nº 12
Arturo Soria y Mata,Monumento de la ciudad de Madrid,C Arturo Soria , Carlota O’Neill,Calle Carlota O'Neill nº 32
Arturo Soria y Mata,Monumento de la ciudad de Madrid,C Arturo Soria , Condesa de Venadito,Calle Condesa de Venadito nº 2
Arturo Soria y Mata,Monumento de la ciudad de Madrid,C Arturo Soria , Derechos Humanos,Calle Derechos Humanos nº 12
Asilo de Inválidos,Monumento de la ciudad de Madrid,C Arnedo 22, Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Asilo de Inválidos,Monumento de la ciudad de Madrid,C Arnedo 22, Ermita Santo,Paseo de la Ermita del Santo nº 48
Asilo de Inválidos,Monumento de la ciudad de Madrid,C Arnedo 22, Caramuel,Calle Caramuel nº 51
Ataulfo,Monumento de la ciudad de Madrid,Pza Oriente , Plaza Ramales,Plaza de Ramales
Ataulfo,Monumento de la ciudad de Madrid,Pza Oriente , San Quintín,Calle Pavía nº 6
Ataulfo,Monumento de la ciudad de Madrid,Pza Oriente , Palacio de Oriente,Calle Carlos III nº 1
Atentado boda real Alfonso XIII,Monumento de la ciudad de Madrid,C Mayor 79, Segovia 26,Calle Segovia nº 26
Atentado boda real Alfonso XIII,Monumento de la ciudad de Madrid,C Mayor 79, Plaza Ramales,Plaza de Ramales
Atentado boda real Alfonso XIII,Monumento de la ciudad de Madrid,C Mayor 79, Plaza del Cordón,Plaza del Cordón
Atentados 11-M,Monumento de la ciudad de Madrid,Pza Puerta del Sol 7, Carretas,Calle Carretas nº 8
Atentados 11-M,Monumento de la ciudad de Madrid,Pza Puerta del Sol 7, Plaza del Carmen ,Plaza del Carmen nº 1
Atentados 11-M,Monumento de la ciudad de Madrid,Pza Puerta del Sol 7, Jacinto Benavente,Plaza de Jacinto Benavente
Atletas,Monumento de la ciudad de Madrid,CALLE SERRANO 127, Serrano 113,Calle Serrano nº 113B
Atletas,Monumento de la ciudad de Madrid,CALLE SERRANO 127, Plaza de la República Argentina,Plaza de la República Argentina nº 6
Atletas,Monumento de la ciudad de Madrid,CALLE SERRANO 127, Velázquez 130,Calle Velázquez nº 130
Atrio de la ermita de San Isidro,Monumento de la ciudad de Madrid,Pº Ermita del Santo 78, Ermita Santo,Paseo de la Ermita del Santo nº 48
Atrio de la ermita de San Isidro,Monumento de la ciudad de Madrid,Pº Ermita del Santo 78, Caramuel,Calle Caramuel nº 51
Atrio de la ermita de San Isidro,Monumento de la ciudad de Madrid,Pº Ermita del Santo 78, Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Auditorio del parque Enrique Tierno Galván,Monumento de la ciudad de Madrid,PARQUE ENRIQUE TIERNO GALVAN , Embajadores 191,Calle Sodio nº 1B
Auditorio del parque Enrique Tierno Galván,Monumento de la ciudad de Madrid,PARQUE ENRIQUE TIERNO GALVAN , Juan Martín,Calle Juan Martín el Empecinado nº 16
Auditorio del parque Enrique Tierno Galván,Monumento de la ciudad de Madrid,PARQUE ENRIQUE TIERNO GALVAN , Méndez Álvaro,Calle Méndez Álvaro nº 11
Augusto d'Halmar,Monumento de la ciudad de Madrid,CALLE LORETO Y CHICOTE 8, Carlos Cambronero,Plaza de Carlos Cambronero nº 2
Augusto d'Halmar,Monumento de la ciudad de Madrid,CALLE LORETO Y CHICOTE 8, Desengaño,Calle Desengaño nº 1
Augusto d'Halmar,Monumento de la ciudad de Madrid,CALLE LORETO Y CHICOTE 8, Miguel Moya,Calle Miguel Moya nº 1
Aula de informática Reina Sofía,Monumento de la ciudad de Madrid,C Camino de la Arboleda , Pavones,Calle Hacienda de Pavones nº 342
Aula de informática Reina Sofía,Monumento de la ciudad de Madrid,C Camino de la Arboleda , Marroquina,Calle Camino de los Vinateros nº 108
Aula de informática Reina Sofía,Monumento de la ciudad de Madrid,C Camino de la Arboleda , Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6
Ave Fénix,Monumento de la ciudad de Madrid,PASEO CASTELLANA 33, Castellana 42,Paseo de la Castellana nº 42
Ave Fénix,Monumento de la ciudad de Madrid,PASEO CASTELLANA 33, Rubén Darío,Glorieta Rubén Darío 2
Ave Fénix,Monumento de la ciudad de Madrid,PASEO CASTELLANA 33, Paseo de la Castellana ,Paseo de la Castellana nº 43
Avenida Reyes Católicos,Monumento de la ciudad de Madrid,Pza San Francisco el Grande 1, Plaza de San Francisco,Plaza de San Francisco nº 5
Avenida Reyes Católicos,Monumento de la ciudad de Madrid,Pza San Francisco el Grande 1, Plaza de los Carros,Carrera de San Francisco nº 1
Avenida Reyes Católicos,Monumento de la ciudad de Madrid,Pza San Francisco el Grande 1, Segovia 26,Calle Segovia nº 26
Azorín,Monumento de la ciudad de Madrid,C Zorrilla 21, Marqués de Cubas,Calle del Marqués de Cubas nº 25
Azorín,Monumento de la ciudad de Madrid,Gta Azorín , Segovia 45,Calle Segovia nº 45
Azorín,Monumento de la ciudad de Madrid,C Zorrilla 21, Banco de España A,Calle Alcalá nº 49
Baco,Monumento de la ciudad de Madrid,PARQUE ALAMEDA DE OSUNA , Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Baco,Monumento de la ciudad de Madrid,PARQUE ALAMEDA DE OSUNA , Carlota O’Neill,Calle Carlota O'Neill nº 32
Baco,Monumento de la ciudad de Madrid,PARQUE ALAMEDA DE OSUNA , C.D. Concepción,Calle Jose del Hierro nº 5
Baco y Pomona en el jardín de la Quinta del duque del Arco,Monumento de la ciudad de Madrid,MONTE EL PARDO , Facultad Derecho,Avenida Complutense nº 23
Baco y Pomona en el jardín de la Quinta del duque del Arco,Monumento de la ciudad de Madrid,MONTE EL PARDO , Facultad Biología,Calle José Antonio Novais frente al nº 12
Baco y Pomona en el jardín de la Quinta del duque del Arco,Monumento de la ciudad de Madrid,MONTE EL PARDO , INEF,Avenida Juan de Herrera frente a la calle Paul Guinard
Baden Powell,Monumento de la ciudad de Madrid,Ctra Zarzón , Caramuel,Calle Caramuel nº 51
Baden Powell,Monumento de la ciudad de Madrid,Ctra Zarzón , Puerta del Ángel,Plaza Puerta del Ángel nº 4
Baden Powell,Monumento de la ciudad de Madrid,Ctra Zarzón , Ermita Santo,Paseo de la Ermita del Santo nº 48
Baldomero Fernández Espartero,Monumento de la ciudad de Madrid,C Francisco y Jacinto Alcántara 1, Pintor Rosales,Paseo del Pintor Rosales frente al nº 38
Baldomero Fernández Espartero,Monumento de la ciudad de Madrid,C Francisco y Jacinto Alcántara 1, Paseo de la Florida,Paseo de la Florida nº 8
Baldomero Fernández Espartero,Monumento de la ciudad de Madrid,C Francisco y Jacinto Alcántara 1, Paseo de Moret,Paseo de Moret nº 11
Baltasar Bachero,Monumento de la ciudad de Madrid,C Salitre 34, Santa Isabel,Calle Atocha nº 95
Baltasar Bachero,Monumento de la ciudad de Madrid,C Salitre 34, Plaza de Lavapiés,Calle Valencia nº 1
Baltasar Bachero,Monumento de la ciudad de Madrid,C Salitre 34, Casa Encendida,Ronda de Atocha nº 34
Banda en los círculos,Monumento de la ciudad de Madrid, , Glorieta de Cádiz,Calle Antonio López nº 129
Banda en los círculos,Monumento de la ciudad de Madrid, , Antonio López,Calle Eugenio Caxes frente al nº 12
Banda en los círculos,Monumento de la ciudad de Madrid, , San Delfín,Calle San Delfín nº 9
Barrendero madrileño,Monumento de la ciudad de Madrid,Pza Jacinto Benavente , Jacinto Benavente,Plaza de Jacinto Benavente
Barrendero madrileño,Monumento de la ciudad de Madrid,Pza Jacinto Benavente , Conde de Romanones,Plaza del Conde de Romanones nº 9
Barrendero madrileño,Monumento de la ciudad de Madrid,Pza Jacinto Benavente , Carretas,Calle Carretas nº 8
Batalla de Lepanto,Monumento de la ciudad de Madrid,C Lepanto 2, Plaza Ramales,Plaza de Ramales
Batalla de Lepanto,Monumento de la ciudad de Madrid,C Lepanto 2, Palacio de Oriente,Calle Carlos III nº 1
Batalla de Lepanto,Monumento de la ciudad de Madrid,C Lepanto 2, San Quintín,Calle Pavía nº 6
Beata Maria Ana de Jesús,Monumento de la ciudad de Madrid,C Valverde 15, Desengaño,Calle Desengaño nº 1
Beata Maria Ana de Jesús,Monumento de la ciudad de Madrid,C Valverde 15, Tres Cruces,Calle Tres Cruces nº 7
Beata Maria Ana de Jesús,Monumento de la ciudad de Madrid,C Valverde 15, Plaza de Pedro Zerolo,Plaza de Pedro Zerolo nº 1
Beatriz Galindo 'La Latina',Monumento de la ciudad de Madrid,Pza Puerta del Ángel , Puerta del Ángel,Plaza Puerta del Ángel nº 4
Beatriz Galindo 'La Latina',Monumento de la ciudad de Madrid,Pza Puerta del Ángel , Caramuel,Calle Caramuel nº 51
Beatriz Galindo 'La Latina',Monumento de la ciudad de Madrid,Pza Puerta del Ángel , Ermita Santo,Paseo de la Ermita del Santo nº 48
Beethoven,Monumento de la ciudad de Madrid,PARQUE BERLIN , Parque Berlín,Avenida de Concha Espina nº 34
Beethoven,Monumento de la ciudad de Madrid,PARQUE BERLIN , Doctor Arce 45,Avenida del Doctor Arce nº 45
Beethoven,Monumento de la ciudad de Madrid,PARQUE BERLIN , Colombia,Calle Colombia nº 7
Benito Pérez Galdos,Monumento de la ciudad de Madrid,CALLE HUERTAS 3, Plaza de Santa Ana,Plaza de Santa Ana nº 10
Benito Pérez Galdos,Monumento de la ciudad de Madrid,CALLE HUERTAS 3, Jacinto Benavente,Plaza de Jacinto Benavente
Benito Pérez Galdos,Monumento de la ciudad de Madrid,CALLE HUERTAS 3, Antón Martín,Calle Atocha nº 54
Benito Pérez Galdós,Monumento de la ciudad de Madrid,CALLE HILARION ESLAVA 7, Arcipreste de Hita A,Calle Arcipreste de Hita nº 12
Benito Pérez Galdós,Monumento de la ciudad de Madrid,CALLE HILARION ESLAVA 7, Arcipreste de Hita B,Calle Arcipreste de Hita nº 12
Benito Pérez Galdós,Monumento de la ciudad de Madrid,CALLE HILARION ESLAVA 7, Fernando el Católico,Calle Fernando el Católico nº 61
Berenguela,Monumento de la ciudad de Madrid,Pº República Argentina , Antonio Maura,Calle Antonio Maura nº 15
Berenguela,Monumento de la ciudad de Madrid,Pº República Argentina , Plaza de la Independencia,Plaza de la Independencia nº 6
Berenguela,Monumento de la ciudad de Madrid,Pº República Argentina , Velázquez,Calle Alcalá nº 95
Bernardino de Obregón,Monumento de la ciudad de Madrid,C Bernardino Obregón 1, Casa Encendida,Ronda de Atocha nº 34
Bernardino de Obregón,Monumento de la ciudad de Madrid,C Bernardino Obregón 1, Embajadores 2,Glorieta de Embajadores nº 2
Bernardino de Obregón,Monumento de la ciudad de Madrid,C Bernardino Obregón 1, Embajadores 1,Glorieta de Embajadores nº 6
Bernardo López García,Monumento de la ciudad de Madrid,C Bernardo López Garcia 9, Conde Duque,Calle Conde Duque nº 22
Bernardo López García,Monumento de la ciudad de Madrid,C Bernardo López Garcia 9, San Vicente Ferrer,Calle San Vicente Ferrer nº 64
Bernardo López García,Monumento de la ciudad de Madrid,C Bernardo López Garcia 9, Plaza de España B,Calle Princesa nº 5
Berruguete,Monumento de la ciudad de Madrid,C Serrano 13, Columela,Calle Serrano nº 8
Berruguete,Monumento de la ciudad de Madrid,C Serrano 13, Villanueva,Calle Claudio Coello nº 109
Berruguete,Monumento de la ciudad de Madrid,C Serrano 13, Colón B,Calle Serrano nº 34
Blanca de los Ríos,Monumento de la ciudad de Madrid,C Jorge Juan 7, Colón B,Calle Serrano nº 34
Blanca de los Ríos,Monumento de la ciudad de Madrid,C Jorge Juan 7, Villanueva,Calle Claudio Coello nº 109
Blanca de los Ríos,Monumento de la ciudad de Madrid,C Jorge Juan 7, Colón A,Calle Serrano nº 34
Blas Lázaro e Ibiza,Monumento de la ciudad de Madrid,Pza Ramón y Cajal 2, Ciudad Universitaria 1,Avenida de la Complutense (Metro Ciudad Universitaria)
Blas Lázaro e Ibiza,Monumento de la ciudad de Madrid,Pza Ramón y Cajal 2, Ciudad Universitaria 2,Avenida de la Complutense (Metro Ciudad Universitaria)
Blas Lázaro e Ibiza,Monumento de la ciudad de Madrid,Pza Ramón y Cajal 2, Facultad Biología,Calle José Antonio Novais frente al nº 12
Botica de José Ortega Hernández,Monumento de la ciudad de Madrid,C Montera 17, Plaza del Carmen ,Plaza del Carmen nº 1
Botica de José Ortega Hernández,Monumento de la ciudad de Madrid,C Montera 17, Puerta del Sol A,Puerta del Sol nº 1
Botica de José Ortega Hernández,Monumento de la ciudad de Madrid,C Montera 17, Puerta del Sol B,Puerta del Sol nº 1
Botica de la Reina Madre,Monumento de la ciudad de Madrid,C Mayor 59, Plaza de San Miguel,Plaza de San Miguel nº 9
Botica de la Reina Madre,Monumento de la ciudad de Madrid,C Mayor 59, Plaza del Cordón,Plaza del Cordón
Botica de la Reina Madre,Monumento de la ciudad de Madrid,C Mayor 59, Plaza Ramales,Plaza de Ramales
Bravo Murillo,Monumento de la ciudad de Madrid,CALLE BRAVO MURILLO 49, Quevedo,Glorieta de Quevedo nº 5
Bravo Murillo,Monumento de la ciudad de Madrid,CALLE BRAVO MURILLO 49, General Álvarez de Castro,Calle del General Álvarez de Castro nº 1
Bravo Murillo,Monumento de la ciudad de Madrid,CALLE BRAVO MURILLO 49, Fernando el Católico,Calle Fernando el Católico nº 19
Britannia,Monumento de la ciudad de Madrid,C Guzmán el Bueno 133, San Francisco de Sales,Calle General Ampudia nº 2
Britannia,Monumento de la ciudad de Madrid,C Guzmán el Bueno 133, Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2
Britannia,Monumento de la ciudad de Madrid,C Guzmán el Bueno 133, Cea Bermúdez,Calle Cea Bermúdez nº 59
Burrito,Monumento de la ciudad de Madrid,C Pío Felipe 12, Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6
Burrito,Monumento de la ciudad de Madrid,C Pío Felipe 12, Sierra Toledana,Camino de Valderribas nº 94
Burrito,Monumento de la ciudad de Madrid,C Pío Felipe 12, Doctor Lozano,Calle Sierra Toledana nº 33
Busto Pablo Neruda,Monumento de la ciudad de Madrid,Avda Pablo Neruda 40, Pavones,Calle Hacienda de Pavones nº 342
Busto Pablo Neruda,Monumento de la ciudad de Madrid,Avda Pablo Neruda 40, Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6
Busto Pablo Neruda,Monumento de la ciudad de Madrid,Avda Pablo Neruda 40, Marroquina,Calle Camino de los Vinateros nº 108
Bustos de emperadores romanos del jardín de la Quinta del duque del Arco,Monumento de la ciudad de Madrid,MONTE EL PARDO , Facultad Derecho,Avenida Complutense nº 23
Bustos de emperadores romanos del jardín de la Quinta del duque del Arco,Monumento de la ciudad de Madrid,MONTE EL PARDO , Facultad Biología,Calle José Antonio Novais frente al nº 12
Bustos de emperadores romanos del jardín de la Quinta del duque del Arco,Monumento de la ciudad de Madrid,MONTE EL PARDO , INEF,Avenida Juan de Herrera frente a la calle Paul Guinard
Bárbara de Braganza,Monumento de la ciudad de Madrid,Pza Villa de París , Marqués de la Ensenada,Calle Marqués de la Ensenada nº 16
Bárbara de Braganza,Monumento de la ciudad de Madrid,Pza Villa de París , Plaza de las Salesas,Plaza de las Salesas 7
Bárbara de Braganza,Monumento de la ciudad de Madrid,Pza Villa de París , Biblioteca Nacional,Paseo de Recoletos nº 20
Cabeza olmeca,Monumento de la ciudad de Madrid,Avda del Ensanche de Vallecas 13, Pavones,Calle Hacienda de Pavones nº 342
Cabeza olmeca,Monumento de la ciudad de Madrid,Avda del Ensanche de Vallecas 13, Marroquina,Calle Camino de los Vinateros nº 108
Cabeza olmeca,Monumento de la ciudad de Madrid,Avda del Ensanche de Vallecas 13, Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6
Cabo Luis Noval,Monumento de la ciudad de Madrid, , San Quintín,Calle Pavía nº 6
Cabo Luis Noval,Monumento de la ciudad de Madrid, , Palacio de Oriente,Calle Carlos III nº 1
Cabo Luis Noval,Monumento de la ciudad de Madrid, , Plaza Ramales,Plaza de Ramales
Café Gijón,Monumento de la ciudad de Madrid,Pº Recoletos 21, Biblioteca Nacional,Paseo de Recoletos nº 20
Café Gijón,Monumento de la ciudad de Madrid,Pº Recoletos 21, Plaza de las Salesas,Plaza de las Salesas 7
Café Gijón,Monumento de la ciudad de Madrid,Pº Recoletos 21, Marqués de la Ensenada,Calle Marqués de la Ensenada nº 16
Calderón de la Barca,Monumento de la ciudad de Madrid,C Mayor 61, Plaza de San Miguel,Plaza de San Miguel nº 9
Calderón de la Barca,Monumento de la ciudad de Madrid,C Mayor 61, Plaza del Cordón,Plaza del Cordón
Calderón de la Barca,Monumento de la ciudad de Madrid,C Mayor 61, Plaza Ramales,Plaza de Ramales
Calle de Milaneses,Monumento de la ciudad de Madrid,C Milaneses 1, Plaza de San Miguel,Plaza de San Miguel nº 9
Calle de Milaneses,Monumento de la ciudad de Madrid,C Milaneses 1, Plaza del Cordón,Plaza del Cordón
Calle de Milaneses,Monumento de la ciudad de Madrid,C Milaneses 1, Palacio de Oriente,Calle Carlos III nº 1
Calle de Santiago,Monumento de la ciudad de Madrid,C Santiago 6, Plaza de San Miguel,Plaza de San Miguel nº 9
Calle de Santiago,Monumento de la ciudad de Madrid,C Santiago 6, Palacio de Oriente,Calle Carlos III nº 1
Calle de Santiago,Monumento de la ciudad de Madrid,C Santiago 6, Plaza Ramales,Plaza de Ramales
Callejón de Jorge Juan,Monumento de la ciudad de Madrid,C Jorge Juan 14, Villanueva,Calle Claudio Coello nº 109
Callejón de Jorge Juan,Monumento de la ciudad de Madrid,C Jorge Juan 14, Colón B,Calle Serrano nº 34
Callejón de Jorge Juan,Monumento de la ciudad de Madrid,C Jorge Juan 14, Colón A,Calle Serrano nº 34
Camilo José Cela,Monumento de la ciudad de Madrid,C Alcalá 185, Mártires Concepcionistas,Calle Mártires Concepcionistas nº 2
Camilo José Cela,Monumento de la ciudad de Madrid,C Claudio Coello 91, Ortega y Gasset,Calle José Ortega y Gasset nº 4
Camilo José Cela,Monumento de la ciudad de Madrid,Pza Menéndez Pelayo , Facultad Derecho,Avenida Complutense nº 23
Campana de La Paz,Monumento de la ciudad de Madrid,Pza San Andrés 1, Plaza de los Carros,Carrera de San Francisco nº 1
